timestamp,open,high,low,close,volume,quoteVolume,symbol,download_date,added_date
2025-10-16 16:00:00,2.3541,2.3997,2.1881,2.3001,416444240.1278,954986625.79745035,XRPUSDT,2025-10-19 11:25:45.053632+00:00,2025-10-19 11:25:45.057751+00:00
2025-10-17 16:00:00,2.3001,2.3905,2.2761,2.3477,143011737,333098470.6938,XRPUSDT,2025-10-19 11:25:45.053632+00:00,2025-10-19 11:25:45.057751+00:00
